column_name,code_value,code_label,code_description,display_order,is_active,parent_code,state_transition
A,In Line,In Line,In Line,1073,Y,,
ACCOUNT_CODE,101,현금,현금,101,Y,,
ACQUISITION_TYPE,A,구입,구입,1065,Y,,
ACQUISITION_TYPE,P,무상,무상,1080,Y,,
ACQUISITION_TYPE,R,임대,임대,1082,Y,,
ACQUISITION_TYPE,S,SSDP,SSDP,1083,Y,,
ACQUISITION_TYPE,Z,자작,자작,1090,Y,,
ACTION_CODE,C,조치완료,조치완료,1067,Y,,
ACTION_CODE,P,처리중,처리중,1080,Y,,
ACTION_CODE,W,대기,대기,1087,Y,,
ACTIVE_YN,N,대기,대기,1078,Y,,
ACTIVE_YN,P,선행,선행,1080,Y,,
ACTIVE_YN,Y,활성,활성,1089,Y,,
ALIGNMENT,0,왼쪽,왼쪽,0,Y,,
ALIGNMENT,1,오른쪽,오른쪽,1,Y,,
ALIGNMENT,2,가운데,가운데,2,Y,,
ALIGNMENT,3,맞춤,맞춤,3,Y,,
APPROVAL_STATUS,NG,NG,NG,1078,Y,,
APPROVAL_STATUS,OK,PASS,PASS,1079,Y,,
ARRAY_TYPE,A,단일품,단일품,1065,Y,,
ARRAY_TYPE,B,조합품,조합품,1066,Y,,
ARRIVAL_LOCATION_CODE,HUB,허브창고,허브창고,1072,Y,,
ARRIVAL_LOCATION_CODE,INSIDE,내부창고,내부창고,1073,Y,,
ARRIVAL_STATUS,C,취소,취소,1067,Y,,
ARRIVAL_STATUS,N,정상,정상,1078,Y,,Y
ARRIVAL_TYPE,A,도착,도착,1065,Y,,
ARRIVAL_TYPE,D,출발,출발,1068,Y,,
ARRIVAL_TYPE,R,입고,입고,1082,Y,,
ASSY_EXP_YN,N,전개안함,전개안함,1078,Y,,
ASSY_EXP_YN,Y,하위전개,하위전개,1089,Y,,
ASSY_EXPLOSION_YN,N,전개안함,전개안함,1078,Y,,
ASSY_EXPLOSION_YN,Y,하위전개,하위전개,1089,Y,,
ATTR_CODE,BOX_LABEL_TYPE,BOX_LABEL_TYPE,BOX_LABEL_TYPE,1066,Y,,
ATTR_CODE,GROSS_WEIGHT,GROSS WEIGHT,GROSS WEIGHT,1071,Y,,
ATTR_CODE,NC_BOARD_YN,N.C BOARD Y/N,N.C BOARD Y/N,1078,Y,,
ATTR_CODE,PLANT_CD,PLANT CD,PLANT CD,1080,Y,,
ATTR_CODE,SCAN_AV_HOLDER_PN,SCAN AV HOLDER P/NO,SCAN AV HOLDER P/NO,1083,Y,,
ATTR_CODE,SCAN_BOT_PCB_YN,SCAN BOT Y/N (DU7000),SCAN BOT Y/N (DU7000),1083,Y,,
ATTR_CODE,SCAN_POWER_PN,SCAN POWER BOARD P/NO,SCAN POWER BOARD P/NO,1083,Y,,
ATTR_CODE,SMD_PRODUCT_CLASS,SMD PRODUCT CLASS,SMD PRODUCT CLASS,1083,Y,,
AUTO_DISTRIBUTE_YN,A,자동,자동,1065,Y,,
AUTO_DISTRIBUTE_YN,M,수동,수동,1077,Y,,
AUTO_ISSUE_PLAN_YN,N,아니오,아니오,1078,Y,,
AUTO_ISSUE_PLAN_YN,Y,예,예,1089,Y,,
AUTO_ISSUE_YN,N,수동출고,수동출고,1078,Y,,
AUTO_ISSUE_YN,Y,자동출고,자동출고,1089,Y,,
AUTO_RECEIPT_YN,N,아니오,아니오,1078,Y,,
AUTO_RECEIPT_YN,Y,예,예,1089,Y,,
B,0 km,0 km,0 km,1048,Y,,
BAD_CAUSE_BY,M,SMD/PBA,SMD/PBA,1077,Y,,
BAD_CAUSE_BY,O,OTP,OTP,1079,Y,,
BAD_CAUSE_BY,P,PBA 불량,PBA 불량,1080,Y,,
BAD_CAUSE_BY,R,RAW MATERIAL,RAW MATERIAL,1082,Y,,
BAD_CAUSE_BY,S,SMD 불량,SMD 불량,1083,Y,,
BAD_CAUSE_BY,U,원자재 불량,원자재 불량,1085,Y,,
BAD_CAUSE_BY,W,판정중,판정중,1087,Y,,
BAD_PHENOMENON,P1001,ATE 출력 전압 불량,ATE 출력 전압 불량,1080,Y,,
BAD_PHENOMENON,P1002,ATE출력 전류 불량,ATE출력 전류 불량,1080,Y,,
BAD_PHENOMENON,P1003,ATE피크 전압 불량,ATE피크 전압 불량,1080,Y,,
BAD_PHENOMENON,P1004,ATE효율 불량,ATE효율 불량,1080,Y,,
BAD_PHENOMENON,P1005,ATE PF 불량,ATE PF 불량,1080,Y,,
BAD_PHENOMENON,P1006,ATE 리플 노이즈 불량,ATE 리플 노이즈 불량,1080,Y,,
BAD_PHENOMENON,P1007,HI POT OSC 불량,HI POT OSC 불량,1080,Y,,
BAD_PHENOMENON,P1008,HI POT CUT OFF 전류 불량,HI POT CUT OFF 전류 불량,1080,Y,,
BAD_PHENOMENON,P1009,HI POT IR 불량,HI POT IR 불량,1080,Y,,
