column_name,korean_name,description,code_values
0501_000445_34L38950_3000_IS_PROCESSED_SUCCESSFULLY_MSGID_107,0501-000445-34L38950-3000  is processed successfully. (MSGID=107),0501-000445-34L38950-3000  is processed successfully. (MSGID=107),
0CH2A_0134A_82U43077_2000_IS_PROCESSED_SUCCESSFULLY_MSGID_107,0CH2A-0134A-82U43077-2000 is processed successfully. (MSGID=107),0CH2A-0134A-82U43077-2000 is processed successfully. (MSGID=107),
0_ROWS_RETRIEVED,0 Rows Retrieved,0 Rows Retrieved,
1203A0101313_39Q27448_3000_IS_PROCESSED_SUCCESSFULLY_MSGID_107,1203A0101313-39Q27448-3000  is processed successfully. (MSGID=107),1203A0101313-39Q27448-3000  is processed successfully. (MSGID=107),
132_ROWS_RETRIEVED,132 Rows Retrieved,132 Rows Retrieved,
18_SETUP_MASTER,18 환경설정,18 환경설정,
1ST_2ND,T/B,T/B,
1_EXCEL,1) 엑셀,1) 엑셀,
1_EXCEL_OPEN,1) 엑셀열기,1) 엑셀열기,
1_HOUR_ACTUAL,1 Hour Actual,1 Hour Actual,
1_ROWS_RETRIEVED,1 Rows Retrieved,1 Rows Retrieved,
1_SHIFT_8HOUR,1 교대(8시간),1 교대(8시간),
1_WEEK,1 주,1 주,
21_MSL_MONITOR,21 MSL 이상 모니터,21 MSL 이상 모니터,
2203_003051_33A85707_10000_IS_PROCESSED_SUCCESSFULLY_MSGID_107,2203-003051-33A85707-10000  is processed successfully. (MSGID=107),2203-003051-33A85707-10000  is processed successfully. (MSGID=107),
2203_007306_39T62649_2000_IS_PROCESSED_SUCCESSFULLY_MSGID_107,2203-007306-39T62649-2000  is processed successfully. (MSGID=107),2203-007306-39T62649-2000  is processed successfully. (MSGID=107),
22_TEMP_HUMIDITY,22 온/습도 이상 모니터,22 온/습도 이상 모니터,
23_FOOLPROOF_STATE,23 풀프루프 모니터,23 풀프루프 모니터,
24_DISPLAY_LINE,24 라인현황 모니터,24 라인현황 모니터,
25_PRODUCTION_STATE,25 생산현황 모니터,25 생산현황 모니터,
26_DISPLAY_TOTAL,26 생산현황 모니터,26 생산현황 모니터,
28_SOLDER_CREAM,28 솔더 이상 모니터,28 솔더 이상 모니터,
2D_BARCODE,바코드,바코드 (코드 값),
2D_BARCODE_CREATE,바코드생성,바코드생성 (코드 값),
2D_BARCODE_PREVIEW,바코드미리보기,바코드미리보기 (코드 값),
2D_BARCODE_PRINT,바코드출력,바코드출력 (코드 값),
2D_BARCODE_SAVE,바코드저장,바코드저장 (코드 값),
2ND_ASSY_PACKING_LABEL_PRINT,2층 ASSY 포장라벨 발행,2층 ASSY 포장라벨 발행,
2_PLAN_UPLOAD,2) 계획올리기,2) 계획올리기,
2_ROWS_RETRIEVED,2 줄새로고침,2 줄새로고침,
2_SHIFT_16HOUR,2 교대(16시간),2 교대(16시간),
2_WEEK,2 주,2 주,
3_ORDER_UPLOAD,3) 주문올리기,3) 주문올리기,
3_SHIFT_24HOUR,3 교대(24시간),3 교대(24시간),
4M_CHANGE_HISTORY,4M 변경이력,4M 변경이력,
4M_CHANGE_HISTORY_REPORT,4M 변경이력리포트,4M 변경이력리포트,
4M_CHANGE_REPORT,4M 변경리포트,4M 변경리포트,
4M_DATE,4M 일자,4M 일자 (날짜),
4M_HISTORY,4M 이력,4M 이력,
4M_HISTORY_MASTER,4M 이력관리,4M 이력관리,
4M_LIST,4M 리스트,4M 리스트,
4_DATA_SAVE,4) 데이터저장,4) 데이터저장,
4_ORDER_COMPARISON,4) 주문비교,4) 주문비교,
4_WEEK,4 주,4 주,
A,,,"{""In Line"": ""In Line""}"
A4_PRINT,A4 프린트,A4 프린트,
ABC,자재등급,자재등급,
ABC_GRADE,등급,등급,
ABNORMAL,비정상,비정상,
ABOUT_APPLICATION,애플리케이션에관하여,애플리케이션에관하여,
ABOUT_INFINITY21,&Infinity21에 대하여,&Infinity21에 대하여,
ACCEPTED_BY_BUYER,을방(구매자 ),을방(구매자 ),
ACCEPT_ALL,전부선택,전부선택,
ACCEPT_STATUS,선택상태,선택상태,
ACCESSORY_INVENTORY,부속품재고,부속품재고,
ACCESSORY_ISSUE,부속품출고,부속품출고,
