table_name,column_name,korean_name,description,data_type,data_length,nullable,is_pk,column_comment,table_comment,code_values
A_MOLD,MOLD_CODE,@S-PARTS번호,@S-PARTS번호 (코드 값),VARCHAR2(100),100,Y,N,,,
A_MOLD,PARTNO,,,VARCHAR2(100),100,Y,N,,,
A_MOLD,NAME,Name,Name,VARCHAR2(1000),1000,Y,N,,,
A_MOLD,SPEC,SPEC:,Spec,VARCHAR2(1000),1000,Y,N,,,
A_MOLD,UNIT,단위.,단위,VARCHAR2(20),20,Y,N,,,
A_MOLD,SUPPLIER,협력사,협력사,VARCHAR2(20),20,Y,N,,,
A_MOLD,PRICE,단가,단가,NUMBER,22,Y,N,,,
A_MOLD,TYPE,타입,타입,VARCHAR2(20),20,Y,N,,,"{""D"": ""데스크탑"", ""N"": ""노트북""}"
A_MOLD,MOLD_GROUP,S-PARTS그룹,S-PARTS그룹,VARCHAR2(20),20,Y,N,,,"{""AIR"": ""에어부품"", ""BD"": ""보드"", ""BER"": ""베어링"", ""BKP"": ""백업핀"", ""BLT"": ""벨트"", ""CAL"": ""캘리브레이션"", ""CBL"": ""케이블"", ""CON"": ""컨넥터"", ""CTL"": ""컨트롤러"", ""CYL"": ""실린더"", ""DR"": ""서보드라이버"", ""DSK"": ""디스크"", ""ETC"": ""기타"", ""FAN"": ""팬"", ""FDR"": ""피더"", ""FLT"": ""필터"", ""FUS"": ""퓨즈"", ""GER"": ""기어"", ""GRS"": ""윤활류"", ""IC"": ""IC"", ""INV"": ""인버터"", ""MHD"": ""마운터헤드"", ""MOT"": ""모터"", ""NLZ"": ""노즐"", ""NT"": ""볼트너트"", ""PLC"": ""PLC"", ""PLY"": ""풀리"", ""PWR"": ""파워서플라이"", ""REY"": ""릴레이"", ""SCN"": ""스캐너"", ""SEN"": ""센서"", ""SHT"": ""샤프트"", ""SPN"": ""스프링"", ""SVL"": ""솔레노이드밸브"", ""SW"": ""스위치"", ""VIS"": ""비젼카메라""}"
A_MOQ,ITEM_CODE,S-PARTS코드.,@품목코드 (코드 값),VARCHAR2(20),20,N,N,,,
A_MOQ,RECEIPT_QTY,입고수량,입고수량 (수량),NUMBER,22,N,N,,,
A_WATCHER,COLUMN1,,,VARCHAR2(20),20,N,N,,,
A_WATCHER,COLUMN2,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN3,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN4,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN5,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN6,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN7,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN8,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN9,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN10,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN11,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN12,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN13,,,VARCHAR2(20),20,Y,N,,,
A_WATCHER,COLUMN14,,,VARCHAR2(20),20,Y,N,,,
